index,user,item,text,position,test,errors_perc,complexity,age,italian,group,readedu,digital,admin,avg_coll_sent,avg_mw_ent_sent,participles_verbs,indicative_verbs,ratio_sub_tot,depth_parse_tree,avg_prep_chain_length,common_nominal_type_adjacent_sents,devnouns_nouns,perc_vfo,avg_sent_length,abstract_nouns,avg_asides
44,3KDSv,DO,D,2,4,75,complex,under60,L2,L2,0.6666666667,2.5,3.5,0.857142857,2.571428571,40,13.33333333,0.428571429,1.272727273,0.210084034,1.285714286,21.95121951,60.22727273,37.71428571,76.82926829,0.428571429
56,na5bc,DO,D,2,4,25,complex,under60,L2,L2,1.333333333,1.5,2,0.857142857,2.571428571,40,13.33333333,0.428571429,1.272727273,0.210084034,1.285714286,21.95121951,60.22727273,37.71428571,76.82926829,0.428571429
68,bxUA9,DO,D,2,4,0,complex,under60,L2,L2,2.666666667,0.5,1.5,0.857142857,2.571428571,40,13.33333333,0.428571429,1.272727273,0.210084034,1.285714286,21.95121951,60.22727273,37.71428571,76.82926829,0.428571429
88,yGqvC,DO,D,2,4,25,complex,under60,L2,L2,2.333333333,3,2.5,0.857142857,2.571428571,40,13.33333333,0.428571429,1.272727273,0.210084034,1.285714286,21.95121951,60.22727273,37.71428571,76.82926829,0.428571429
94,nvTbM,DO,D,2,4,25,complex,under60,L2,L2,1,4,3,0.857142857,2.571428571,40,13.33333333,0.428571429,1.272727273,0.210084034,1.285714286,21.95121951,60.22727273,37.71428571,76.82926829,0.428571429
19,GcGjO,BO,B,1,3,50,complex,under60,L2,L2,1,3,3,0.75,2,26.66666667,40,0.64,2.555555556,0.117408907,2.5,16.17647059,63.60153257,32.625,63.23529412,0.875
53,Ngduz,BO,B,1,3,25,complex,under60,L2,L2,1.666666667,0,1,0.75,2,26.66666667,40,0.64,2.555555556,0.117408907,2.5,16.17647059,63.60153257,32.625,63.23529412,0.875
61,721en,BO,B,1,3,75,complex,under60,L2,L2,1,3.5,3,0.75,2,26.66666667,40,0.64,2.555555556,0.117408907,2.5,16.17647059,63.60153257,32.625,63.23529412,0.875
75,tTvg0,BO,B,1,3,50,complex,under60,L2,L2,2.666666667,2.5,4,0.75,2,26.66666667,40,0.64,2.555555556,0.117408907,2.5,16.17647059,63.60153257,32.625,63.23529412,0.875
20,GcGjO,DS,D,2,3,25,simple,under60,L2,L2,1,3,3,0,1.111111111,13.79310345,51.72413793,0.470588235,1,0.096774194,0.777777778,13.7254902,70.14925373,22.33333333,64.70588235,0
54,Ngduz,DS,D,2,3,100,simple,under60,L2,L2,1.666666667,0,1,0,1.111111111,13.79310345,51.72413793,0.470588235,1,0.096774194,0.777777778,13.7254902,70.14925373,22.33333333,64.70588235,0
62,721en,DS,D,2,3,75,simple,under60,L2,L2,1,3.5,3,0,1.111111111,13.79310345,51.72413793,0.470588235,1,0.096774194,0.777777778,13.7254902,70.14925373,22.33333333,64.70588235,0
76,tTvg0,DS,D,2,3,75,simple,under60,L2,L2,2.666666667,2.5,4,0,1.111111111,13.79310345,51.72413793,0.470588235,1,0.096774194,0.777777778,13.7254902,70.14925373,22.33333333,64.70588235,0
23,8I7ig,AS,A,1,2,75,simple,under60,L2,L2,1.333333333,4,2.5,0,1.428571429,6.666666667,53.33333333,0.363636364,2.735294118,0.092105263,1.285714286,8.571428571,71.13821138,17.57142857,71.42857143,0.142857143
27,2Zxji,AS,A,1,2,0,simple,under60,L2,L2,1,3.5,4,0,1.428571429,6.666666667,53.33333333,0.363636364,2.735294118,0.092105263,1.285714286,8.571428571,71.13821138,17.57142857,71.42857143,0.142857143
37,mmTvy,AS,A,1,2,25,simple,under60,L2,L2,2.333333333,4,4.5,0,1.428571429,6.666666667,53.33333333,0.363636364,2.735294118,0.092105263,1.285714286,8.571428571,71.13821138,17.57142857,71.42857143,0.142857143
41,Tracm,AS,A,1,2,75,simple,under60,L2,L2,1,3.5,2.5,0,1.428571429,6.666666667,53.33333333,0.363636364,2.735294118,0.092105263,1.285714286,8.571428571,71.13821138,17.57142857,71.42857143,0.142857143
65,UvX1D,AS,A,1,2,50,simple,under60,L2,L2,1.333333333,2.5,2.5,0,1.428571429,6.666666667,53.33333333,0.363636364,2.735294118,0.092105263,1.285714286,8.571428571,71.13821138,17.57142857,71.42857143,0.142857143
71,edPrz,AS,A,1,2,50,simple,under60,L2,L2,1.666666667,2.5,2,0,1.428571429,6.666666667,53.33333333,0.363636364,2.735294118,0.092105263,1.285714286,8.571428571,71.13821138,17.57142857,71.42857143,0.142857143
77,NQZ8e,AS,A,1,2,50,simple,under60,L2,L2,1,3.5,3,0,1.428571429,6.666666667,53.33333333,0.363636364,2.735294118,0.092105263,1.285714286,8.571428571,71.13821138,17.57142857,71.42857143,0.142857143
79,oeOec,AS,A,1,2,50,simple,under60,L2,L2,1,2.5,3.5,0,1.428571429,6.666666667,53.33333333,0.363636364,2.735294118,0.092105263,1.285714286,8.571428571,71.13821138,17.57142857,71.42857143,0.142857143
24,8I7ig,CO,C,2,2,75,complex,under60,L2,L2,1.333333333,4,2.5,0.75,1.5,12.5,45.83333333,0.444444444,2.708333333,0.105263158,1.625,16.66666667,52.7027027,27.75,72.22222222,0.375
28,2Zxji,CO,C,2,2,25,complex,under60,L2,L2,1,3.5,4,0.75,1.5,12.5,45.83333333,0.444444444,2.708333333,0.105263158,1.625,16.66666667,52.7027027,27.75,72.22222222,0.375
38,mmTvy,CO,C,2,2,0,complex,under60,L2,L2,2.333333333,4,4.5,0.75,1.5,12.5,45.83333333,0.444444444,2.708333333,0.105263158,1.625,16.66666667,52.7027027,27.75,72.22222222,0.375
42,Tracm,CO,C,2,2,25,complex,under60,L2,L2,1,3.5,2.5,0.75,1.5,12.5,45.83333333,0.444444444,2.708333333,0.105263158,1.625,16.66666667,52.7027027,27.75,72.22222222,0.375
66,UvX1D,CO,C,2,2,75,complex,under60,L2,L2,1.333333333,2.5,2.5,0.75,1.5,12.5,45.83333333,0.444444444,2.708333333,0.105263158,1.625,16.66666667,52.7027027,27.75,72.22222222,0.375
72,edPrz,CO,C,2,2,75,complex,under60,L2,L2,1.666666667,2.5,2,0.75,1.5,12.5,45.83333333,0.444444444,2.708333333,0.105263158,1.625,16.66666667,52.7027027,27.75,72.22222222,0.375
78,NQZ8e,CO,C,2,2,0,complex,under60,L2,L2,1,3.5,3,0.75,1.5,12.5,45.83333333,0.444444444,2.708333333,0.105263158,1.625,16.66666667,52.7027027,27.75,72.22222222,0.375
80,oeOec,CO,C,2,2,25,complex,under60,L2,L2,1,2.5,3.5,0.75,1.5,12.5,45.83333333,0.444444444,2.708333333,0.105263158,1.625,16.66666667,52.7027027,27.75,72.22222222,0.375
