"","PC1","PC2","PC3"
"avg_coll_sent",0.299813727438889,-0.254426556919098,0.24260496125396
"avg_mw_ent_sent",0.349555241489636,0.154691424912406,-0.0740136984179843
"participles_verbs",0.346341209921337,0.12549531332051,-0.149805743820791
"indicative_verbs",-0.342938578463054,-0.107145201103898,0.219468617086142
"ratio_sub_tot",0.224720767123954,0.12901955328022,0.251927675746485
"depth_parse_tree",0.0867547490639193,0.551755674140196,0.392702911244666
"avg_prep_chain_length",0.323509073001477,-0.0952389790309636,-0.347977008445065
"common_nominal_type_adjacent_sents",0.010730936301923,-0.449122389592936,0.518225419080565
"devnouns_nouns",0.269281004104707,-0.397055933727118,-0.135948510258765
"perc_vfo",-0.219704602924494,0.118824507028908,-0.303752506962272
"avg_sent_length",0.343290648870208,-0.267322124138765,-0.0191531789620226
"abstract_nouns",0.239004344646233,0.245585373725193,-0.144067909920829
"avg_asides",0.303002902046861,0.220682571927225,0.354764523168022
